stop_key,stop_id,stop_name,stop_lat,stop_lon,parent_station
506585344784560470,26401,Albury Station,-36.0840679993,146.924691003,
-7576476589388505962,264086,Albury Station Platform 1,-36.083941,146.924558,26401
5864262152086700404,233610,Aberdeen Station,-32.1671035802,150.892052189,
586166626136735264,233621,Aberdeen Station Platform 1,-32.166969,150.892016,233610
-1364916393950848262,222020,Allawah Station,-33.9695839058,151.11432998,
-4178846816773711108,2220351,Allawah Station Platform 1,-33.96951,151.114268,222020
3357921396986408568,2220352,Allawah Station Platform 2,-33.969553,151.114249,222020
2575190295852924711,2220353,Allawah Station Platform 3,-33.969678,151.114212,222020
-7110789718912403642,2220354,Allawah Station Platform 4,-33.969722,151.114197,222020
2813233661614172664,252710,Albion Park Station,-34.5626467141,150.798499742,
-4163568673314769691,2527161,Albion Park Station Platform 1,-34.562946,150.798688,252710
-7364633119503500562,2527162,Albion Park Station Platform 2,-34.563092,150.798981,252710
8611224044650302115,23501,Armidale Station,-30.515372995,151.651753003,
128402050070992012,235044,Armidale Station Platform 1,-30.515208,151.651701,23501
1651313764701403274,220520,Arncliffe Station,-33.9364561946,151.147299468,
9016527221967860355,220591,Arncliffe Station Platform 1,-33.936473,151.147101,220520
3913791622566525486,220592,Arncliffe Station Platform 2,-33.936501,151.147222,220520
9208013799183619241,220593,Arncliffe Station Platform 3,-33.936573,151.147345,220520
2400575194895508650,220594,Arncliffe Station Platform 4,-33.936605,151.147438,220520
-335125954149097713,206410,Artarmon Station,-33.8089026435,151.185293878,
-335714526552119841,206451,Artarmon Station Platform 1,-33.80857,151.18478,206410
3978548535571031105,206452,Artarmon Station Platform 2,-33.808605,151.184744,206410
-3277055802529778007,213110,Ashfield Station,-33.8875506079,151.125504163,
8456074697912671783,2131121,Ashfield Station Platform 1,-33.887518,151.125785,213110
-4731076736034607547,2131122,Ashfield Station Platform 2,-33.887583,151.125758,213110
7025016748622994863,2131123,Ashfield Station Platform 3,-33.887643,151.125733,213110
-761550865537761432,2131124,Ashfield Station Platform 4,-33.887709,151.125694,213110
3190070174226799520,2131125,Ashfield Station Platform 5,-33.887762,151.125544,213110
-4148786023267799236,207730,Asquith Station,-33.6887699577,151.108025195,
7253436937350935639,2077291,Asquith Station Platform 1,-33.688615,151.108205,207730
-3113364509630902133,2077292,Asquith Station Platform 2,-33.688551,151.108101,207730
-5418993586483345880,228920,Adamstown Station,-32.9337298819,151.720080668,
7388059054280827874,2289331,Adamstown Station Platform 1,-32.933687,151.72023,228920
